Dates In Office,Name,Link Name,Page Name,Website,Living Years,Gender,Facial Hair,Glasses,Neck Decorations,Image Link,Description
Born in Wrightsboro, Georgia 1807, he married Rebecca Lowe in 1832.  She was the descended from a prominent Virginia family.  The Massengales moved to Chattanooga in 1850 when he was 43-years of age.  He built a brick house south of town.  The house was later purchased by John A. Lee when the Massengale family moved to a farm by Chickamauga Creek in Walker County, Georgia where they operated a 500 acre vineyard of Catawba grapes.  He constructed a large wine cellar and produced 1,500 gallons of wine every year.   The family also had a summer residence on Lookout Mountain.  The family lost their large estates during the Civil War.


Little is know about Henry White Massengale, other than he owned a business in town and he was exempt from war services, but he was an enthusiastic supporter of the Southern Cause.  He gave $60,000 in gold for Confederate bonds at the first offering.  Three of his sons, Henry White Massengale, Thomas Massengale, and George Pierce Massengale served with Confederate forces.  His daughter, Laura Massengale, a quick and witty young lady had become a belle among the Confederate army.  She stood on the upper gallery of the Central Hotel located at 5th Street and Market Street and gave the presentation speech to the company organized by William Ragsdale that marched away to war.  It is noted that her speech and delivery were remarkable.


Mayor Henry White Massengale was a leader in the Methodist Church and the Masons.  He helped erect the Masonic Academy for female students, and he was also involved in banking, building and warehousing.



 
	
						 
	         _                            Close"

1849,"Thomas Crutchfield, Sr. ","1849 Thomas Crutchfield, Sr.","1849 Thomas Crutchfield, Sr.",http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1849-thomas-crutchfield-sr,(Lived 1801–1850),Male,,,,http://www.chattanooga.gov/images/Mayor_Images/Mayor_Thomas_Crutchfield_circa_1849.jpg,"1849 Thomas Crutchfield, Sr. 
	
													
								
	

	
		
						 
	




(Lived 1801–1850)
Thomas Crutchfield and his family moved to Chattanooga in early 1830’s, just as the Cherokees were being removed.  As the town of Chattanooga was established, Crutchfield helped survey and clear the streets.

Crutchfield and his brother-in-law established a brick kiln near the river and built Chattanooga’s first brick homes for James Whiteside and Dr. Milo Smith.  
A strong businessman Crutchfield built one of Chattanooga’s first hotels near his home along Ninth Street.  The large wooden Crutchfield Hotel played a significant role in the history of Chattanooga, often serving as a meeting place for civic leaders, political rallies and a general gathering place.
Crutchfield was extremely interested in the Western and Atlantic railroad being built by the State of Georgia and worked with officials to assure that Chattanooga would be the northern terminus of the rail line.  Unfortunately, Crutchfield did not live to see the rail line or depot completed as he died while on a trip to Nashville in 1850.  His hotel passed to his son, Thomas Crutchfield, Jr.

 
	
						 
	         _                            Close"

1850-1852,Dr. Milo Smith ,1850-1852 Dr. Milo Smith,1850-1852 Dr. Milo Smith,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1850-1852-dr-milo-smith,(Lived 1807-1869),Male,,,,http://www.chattanooga.gov/images/Mayor_Images/DR_MILO_SMITH_1842-52-62-63.jpg,"1850-1852 Dr. Milo Smith 
	
													
								
	

	
		
						 
	




(Lived 1807-1869)
Reelected for a third term in January 1850, Mayor Smith led the board of alderman in applying for a new charter for Chattanooga.  The petition to the Tennessee State Legislature asked that Chattanooga be designated a city rather than a town.  Granted November 1849, the new charter also changed the way that the city government was selected.  The new charter mandated that eight aldermen and a mayor be elected on the last Thursday in December of each year.  So, in December 1850, Dr. Smith became the first mayor elected by popular vote. 
Five months into Mayor Smith’s fourth term, one of the most influential events in Chattanooga history occurred when a Western and Atlantic Railway train passed the Missionary Ridge tunnel and entered Chattanooga.  This first train arriving on May 9, 1851, marked Chattanooga’s emergence as a significant southern city and promised great growth.  .
Realizing that Chattanooga was quickly becoming linked to all areas of the south except for Alabama, the leadership of the city urged the states of Tennessee, Alabama, and Georgia to construct a railroad from Chattanooga south into Alabama.  Mayor Smith and the Board of Aldermen believed so strongly in this plan that in 1852 they dedicated $100,000 of the city’s money to purchasing stock in the proposed Wills Valley Railroad, an action that would eventually have a negative impact on the young city’s financial situation.

 
	
						 
	         _                            Close"

1853,Henry White Massengale ,1853 Henry White Massengale,1853 Henry White Massengale,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1853-henry-white-massengale,(Lived 1809 - ?),Male,,,,http://www.chattanooga.gov/images/Mayor_Images/HENRY_WHITE__MASSENGALE_1846-1853.jpg,"1853 Henry White Massengale 
	
													
								
	

	
		
						 
	




(Lived 1809 - ?)
Henry Massengale served a forth term as mayor in 1854, then moved to a large farm in Walker County, Georgia. 

 
	
						 
	         _                            Close"

1854,William F. Ragsdale ,1854 William F. Ragsdale,1854 William F. Ragsdale,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1854-william-f-ragsdale,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/CAPT__RAGSDALE_1854.jpg,"1854 William F. Ragsdale 
	
													
								
	

	
		
						 
	




William Ragsdale became Mayor when William Williams resigned the position on July 1, 1854. Having served as Chattanooga’s postmaster from 1850 to 1852, at the time of his appointment, Ragsdale served as an officer of the Bank of Chattanooga.


When the War Between the States broke out in 1861, Ragsdale raised , Co. ""A"". ""The Lookout Rangers."" Men from Hamilton County. Organized June 15, 1861; accepted into Confederate service at Knoxville, August 1, 1861. Became Company ""H"", 2nd Regiment.


Following the Civil War, Ragsdale returned to Chattanooga and remained in the city until his death.



 
	
						 
	         _                            Close"

1854,William Williams  ,1854 William Williams,1854 William Williams,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1854-william-williams,(Lived 1810-1894),Male,,,,http://www.chattanooga.gov/images/Mayor_Images/WILLIAM_WILLIAMS_1857.jpg,"1854 William Williams 
	
													
								
	

	
		
						 
	




(Lived 1810-1894)
William Williams and his brother opened the Bank of Chattanooga, the city’s first bank, in 1853.  That December, the citizenry of Chattanooga elected Williams as mayor. 


Taking office in January 1854, Mayor Williams only served until July 1, 1854, at which time he resigned his duties.  Williams did not leave public service however, for as soon as Alderman William Ragsdale was elected to serve as Mayor, Williams accepted an appointment to complete Ragsdale’s alderman term. During Mayor Williams’ term, the Nashville & Chattanooga Railroad completed its line into the city. 


In 1858, due to illness, Williams retired from the Bank of Chattanooga and moved to Nashville.



 
	
						 
	         _                            Close"

1855,Eldridge Gerry Pearl ,1855 Eldridge Gerry Pearl,1855 Eldridge Gerry Pearl,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1855-eldridge-gerry-pearl,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"1855 Eldridge Gerry Pearl 
	
													
								
	

	
		
						 
	




Eldridge Pearl, officer of the Chattanooga branch of the Union Bank of East Tennessee, became mayor in 1855.  Little is known about Pearl other than he was originally from New York and returned to New York soon after his term as mayor of Chattanooga.

 
	
						 
	         _                            Close"

1856,David Claiborne McMillin ,1856 David Claiborne McMillin,1856 David Claiborne McMillin,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1856-david-claiborne-mcmillin,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/DC_McMILLIN__1856.jpg,"1856 David Claiborne McMillin 
	
													
								
	

	
		
						 
	




(Lived April 11, 1815 – November 26, 1897)
In 1838, David McMillin moved to Chattanooga just as the town was established.  McMillin and his brother, Johnathan, opened a dry goods store on Market Street. McMillin served as alderman in 1852 before being elected Mayor in 1856. McMillin remained in Chattanooga, helping establish the City National Bank in 1870.

 
	
						 
	         _                            Close"

1857,William D. Fulton ,1857 William D. Fulton,1857 William D. Fulton,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1857-william-d-fulton,"(Lived November 17, 1820 – November 15, 1882)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/WILLIAM_DOUGLAS_FULLTON_1854.jpg,"1857 William D. Fulton 
	
													
								
	

	
		
						 
	




(Lived November 17, 1820 – November 15, 1882)
Born in Georgia in 1820, William Fulton entered in the army in 1847 and served as a captain in the Mexican War before moving to Chattanooga in 1852.  Although, he had practiced as an attorney in Georgia prior to his service in the Mexican War, Fulton did not practice law in Chattanooga.
In 1853, he became cashier of the Bank of Chattanooga, a position he held until the bank’s closing in 1863.
Fulton assisted in creating Chattanooga’s first utility company, the Chattanooga Water Works Company, in 1856.  During his term of office, the Memphis & Charleston Railroad completed its route and linked Chattanooga to the eastern seaboard.
When the Bank of Chattanooga closed in 1863 due to the Union Army’s occupation of Chattanooga, Fulton moved to Nashville where he lived the remainder of his life.

 
	
						 
	         _                            Close"

1858,Dr. William Samuel Bell,1858 Dr. William Samuel Bell,1858 Dr. William Samuel Bell,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1858-dr-william-samuel-bell,(Lived ?--1861),Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"1858 Dr. William Samuel Bell 
	
													
								
	

	
		
						 
	




(Lived ?--1861)
Following service in the Mexican War, Dr. William S. Bell made his home in Chattanooga.  Bell did not establish a medical practice in Chattanooga; rather he opened Bell’s Distillery along the western slops of Cameran Hill.  The corn whiskey distillery’s product was shipped throughout the state of Tennessee.   One historic report states that Dr. Bell’s plant could produce three hundred gallons of whiskey a day.   
Bell served as alderman in 1857, before his election to Mayor in 1858.  Continuing the trend of city leaders throughout the 1850s, Mayor Bell and the city board of alderman worked to enlarge Chattanooga’s place as a southern rail hub.  In 1858, the East Tennessee, Virginia and Georgia Railroad completed its route into the city.  The Mayor and alderman also completed details with the Western & Atlantic and the Nashville & Chattanooga railroad companies to build a depot in the city.  The city donated land along Ninth Street, across from the Crutchfield Hotel, for construction of the Union Depot.
When the Civil War erupted, former Mayor Bell volunteered for service and was assigned to a Confederate medical division.  While stationed in Memphis, Bell died from injuries received from a cannonball strike.

 
	
						 
	         _                            Close"

1859,"Thomas Crutchfield, Jr. ","1859 Thomas Crutchfield, Jr.","1859 Thomas Crutchfield, Jr.",http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1859-thomas-crutchfield-jr,"(Lived May 17, 1830 – March 29, 1886)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/THOMAS_CRUTCHFIELD_1849-1859.jpg,"1859 Thomas Crutchfield, Jr. 
	
													
								
	

	
		
						 
	




(Lived May 17, 1830 – March 29, 1886)
Upon his father’s death in 1850, Thomas Crutchfield, Jr. took over operation of Chattanooga’s largest hotel, the Crutchfield House.  Mayor Crutchfield became mayor at a time when Chattanooga faced tough financial times.  The city’s investment in so many railroad projects and officials refusal to levy taxes against its citizens had drained the city’s coffers throughout the mid-1850s.  Though 1859 saw the completion of the Union Depot, the city’s financial future looked dim, forcing the Mayor and alderman to secure a $50,000 loan from a New York bank.  The terms of the loan pledged the “property and faith of the city” for security.
In the late winter of 1861, as the country approached the Civil War, Thomas Crutchfield sold his hotel. Following the Civil War, Crutchfield opened a general merchandise store along Market Street.  Unlike other southern businessmen, Thomas Crutchfield maintained enough capital following the Civil War that he was able to become a shareholder in the First National Bank when it incorporated in Chattanooga in the fall of 1865.

 
	
						 
	         _                            Close"

1860,Charles Erskine Grenville ,1860 Charles Erskine Grenville,1860 Charles Erskine Grenville,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1860-charles-erskine-grenville,"(Lived July 10, 1819 – March 30, 1880)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/CHARLES_E_GRENVILLE_1850_.jpg,"1860 Charles Erskine Grenville 
	
													
								
	

	
		
						 
	




(Lived July 10, 1819 – March 30, 1880)
Mayor Charles Erskine Grenville was born in Augusta, Georgia on July 10, 1819 and died in Charleston, South Carolina on March 30, 1880.


He moved to Chattanooga in 1850 and established Grenville Flour Mill, located along Chestnut Street near the intersection of Ninth Street, at the back of the present day Read House.  Grenville’s mill was one of Chattanooga’s largest industries prior to the Civil War.


He had faith in Chattanooga and accumulated considerable amount of property, but lost his fortune during the American Civil War. Grenville Flour Mill was destroyed during the War, and it is said that it frequently served as a target when Chattanooga was shelled by Union forces. All of his properties were virtually destroyed.


Mayor Grenville married February 27, 1851 to Margaret MacMurphey, daughter of a pioneer settler of Augusta, Georgia.  They had three children, only one survived, Mrs. Mary Grenville Mullings of Atlanta, Georgia.



 
	
						 
	         _                            Close"

1861,James Cartwright Warner ,1881 John A. Hart,1861 James Cartwright Warner,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1861-james-cartwright-warner,"(Lived August 20, 1830 – July 21, 1895)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/JC__WARNER_1861.jpg,"1861 James Cartwright Warner 
	
													
								
	

	
		
						 
	




(Lived August 20, 1830 – July 21, 1895)
Born in Gallatin, Tennessee, James Cartwright Warner worked for a hardware store in Nashville before moving to Chattanooga in 1853 to open his own hardware store.  Warner became an officer of the Bank of Chattanooga, and a leader in the development of the Wills Valley Railroad. 
Mayor Warner’s term in office was one of great trial for Chattanoogans, as the nation was on the brink of war.  Soon after Warner took office, future Confederate President Jefferson Davis visited Chattanooga on his way from Washington to Mississippi, the state took its first vote on the issue of secession and the city began planning for what seemed to be an impending crisis.  In April, the mayor and alderman oversaw the establishment of an armory and “Home Guard” unit.  Worried about the effect northern sympathizers might have on the city the mayor also ordered the organization of a “Vigilance Committee” to watch for persons hostile to secession.     
On June 8, 1861, the state of Tennessee voted to secede from the United States of America and join the Confederate States of American.  Though Hamilton County voters overwhelmingly voted to remain loyal to the Union, Chattanoogans voted 421 to 51 to secede. 
After his term of service Warner became president of the Bank of Chattanooga when the bank closed in 1863 Warner moved his family to Nashville where he remained until his death in 1895.

 
	
						 
	         _                            Close"

1862-1863,Dr. Milo Smith ,1862-1863 Dr. Milo Smith,1862-1863 Dr. Milo Smith,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1862-1863-dr-milo-smith,,Male,,,,,"1862-1863 Dr. Milo Smith 
	
													
								
	

	
		
						 
	





(Lived 1807-1869)

Dr. Milo Smith served his sixth and seventh terms as mayor during a time of great turmoil, with the country involved in the Civil War.  During his term, the city became a refuge for many as other southern cities began to fall.   The great unrest within the nation did not spare Chattanooga, as during the summer of 1862, the city became the headquarters for the Confederate Army’s hospital corps.  On June 7, the city fell under attack from the Union army for the first time.   
By June 1863, as he abandoned middle Tennessee, Confederate General Braxton Bragg began amassing his troops in Chattanooga.  On September 8, 1863, General Bragg and his army withdrew from Chattanooga and the Union army entered.  A state of martial law was enforced and Mayor Smith’s final term of service ended.

 
	
						 
	         _                            Close"

1865,Richard Henderson  ,1865 Richard Henderson,1865 Richard Henderson,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1865-richard-henderson,"(Lived 1815 – June 11, 1878)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/richard_henderson_1864-1865.jpg,"1865 Richard Henderson 
	
													
								
	

	
		
						 
	




(Lived 1815 – June 11, 1878)
Originally from Warren County, Richard Henderson purchased land in Chattanooga on June 15, 1840 and immediately set up a law office.  Henderson did not support secession, and throughout the Union army’s occupation of Chattanooga, Henderson worked with military commanders as needed.   
As the Union army began returning Chattanooga to its citizens, military officials ordered an election to be held on October 7, 1865.  No citizens who had sympathized or helped the Confederate government were allowed to vote, and only Unionists or those who remained neutral were eligible to serve as mayor or aldermen until January 1, 1866.   Mayor Henderson and the alderman’s task for their short term was to re-draft all city ordinances in order to re-establish the local government.  An attorney prior to the Civil War, Henderson’s knowledge of law and the legal system was no doubt helpful as the mayor worked to create all the laws needed for a new city government.

 
	
						 
	         _                            Close"

1866,Charles E. Lewis ,1866 Charles E. Lewis,1866 Charles E. Lewis,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1866-charles-e-lewis,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/CHARLES_E_LEWIS_1866.jpg,"1866 Charles E. Lewis 
	
													
								
	

	
		
						 
	




In re-establishing the new government, Mayor Henderson and the Board of Aldermen reverted to the pre-war custom of holding the city’s general election on the last Thursday of December.  On December 28, 1865, republican Charles Lewis became the first full term mayor elected after the Civil War. Like the fall 1865 election, any citizen with known ties to the former Confederate government or sympathizer could not vote.  Those elected had either worked with Union military officials or could prove that they had remained neutral throughout the recent war. 
Chattanooga, during Lewis’ term of service, not only saw a return of some residents who had been displaced by the war, but also saw a large influx of northerners coming south to take advantage of a city working to rebuild.

 
	
						 
	         _                            Close"

1867-1868,Dudley C. Carr ,1867-1868 Dudley C. Carr,1867-1868 Dudley C. Carr,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1867-1868-dudley-c-carr,,Male,,,,http://www.chattanooga.gov/images/Mayor_Images/colorseal_sm.gif,"1867-1868 Dudley C. Carr 
	
													
								
	

	
		
						 
	




New Yorker Dudley Carr became mayor in 1867, leading a board of aldermen composed of all newcomers to Chattanooga.  The election of this Board of Aldermen and Mayor reflected the shift in the make-up of the citizens of Chattanooga, as more and more were either Union veterans or northern carpetbaggers.  During this time, to improve the city’s economy, officials advertised in northern publications in hope that industrialists would move into Chattanooga.
As Mayor Carr was leading Chattanooga through its recovery from the Civil War, the city experienced the greatest flood in its history, with waters reaching 58.6 feet.  The early March flood destroyed the only bridge across the Tennessee River and damaged most buildings in town.  As floodwaters rose, Mayor Carr ordered food and other supplies to be gathered and taken to the top of Cameron Hill, where many citizens were taking refuge. 
In April 1867, city officials conducted the first post-war census of Chattanooga.  This census recorded that 3,229 whites and 2,550 blacks lived within the city limits.
Reelected in December 1867 for the 1868 term, Mayor Carr worked throughout 1868 to have the city appropriate $100,000 to the Tennessee River Improvement Commission in hopes of determining a way to protect the city from other floods.

 
	
						 
	         _                            Close"

1869,Alonzo G. Sharp ,1869 Alonzo G. Sharp,1869 Alonzo G. Sharp,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1869-alonzo-g-sharp,"(Lived January 2, 1841 – January 23, 1913)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/A_G_SHARP_1868-85-86.jpg,"1869 Alonzo G. Sharp 
	
													
								
	

	
		
						 
	




(Lived January 2, 1841 – January 23, 1913)
Born in New York, Alonzo Sharp moved to Ohio at the age of six.  In 1861 Sharp joined the Ohio Volunteer Infantry serving with the Union Army as a captain until forced to resign due to ill health in 1864.  Sharp moved to Chattanooga in 1865 and became city treasurer in 1867.  After two years as city treasurer, Sharp was elected Mayor. 
To try to relieve the poor economy of the city, Mayor Sharp and the Board of Aldermen issued municipal script and mandated that all city offices accept the script for payments.  The ordinance, which also allowed city taxes to be paid with the Chattanooga script, began a downward economic spiral that would take the city years to recover from.

 
	
						 
	         _                            Close"

1870-1871,William P. Rathburn ,1870-1871 William P. Rathburn,1870-1871 William P. Rathburn,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1870-1871-william-p-rathburn,"(Lived February 12, 1822 - January 11, 1884)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/WP_RATHBURN_1870-1871.jpg,"1870-1871 William P. Rathburn 
	
													
								
	

	
		
						 
	




(Lived February 12, 1822 - January 11, 1884)
William Rathburn and a group of other capitalists from Ohio arrived in Chattanooga in the summer of 1865.  Rathburn and others received a charter for the First National Bank in September 1865 and opened it immediately.  Rathburn served as president of the bank until 1884.  Fellow Ohioan John T. Wilder may have influenced Rathburn’s move to Chattanooga, as Rathburn had formed a business partnership with Wilder. 
Just four years after arriving in the city, Rathburn won the popular vote in the mayoral election and took office in January 1870.  During his term, the city of Chattanooga received a new city charter that mandated that all municipal elections be held on the third Thursday of November each year.  As a result, his term in 1870 was cut short, however, he won re-election for a second term.  
Following his terms in office, Rathburn continued to work closely with city officials, as he worked to assure that the Cincinnati Southern Railroad would build its line through Chattanooga.  Rathburn’s work with the Cincinnati Southern led the railroad to name a northern Hamilton County depot in his honor.  Today, the area that once was called Rathburn is in the vicinity of Soddy Daisy.

 
	
						 
	         _                            Close"

1871-1872,John T. Wilder ,1871-1872 John T. Wilder,1871-1872 John T. Wilder,http://www.chattanooga.gov/about-chattanooga/history-of-mayors/1871-1872-john-t-wilder,"(Lived January 3, 1830 – October 20, 1917)",Male,,,,http://www.chattanooga.gov/images/Mayor_Images/John_T_Wilder.jpg,"1871-1872 John T. Wilder 
	
													
								
	

	
		
						 
	




